k_slots,required_pct,headroom_to_total_pct
1,7.252069820654581,3100.0
2,5.0446019932096915,1500.0
3,4.049671607918014,966.6666666666666
4,3.446121814883843,700.0
5,3.026764745011236,540.0
6,2.7113965025534994,433.3333333333333
7,2.4615189219114724,357.1428571428571
8,2.256020547242393,300.0
9,2.0822138734417686,255.55555555555554
10,1.9319428922440172,220.00000000000003
11,1.7996852059347195,190.9090909090909
12,1.68154287043191,166.66666666666666
13,1.5746681935556617,146.15384615384616
14,1.4769186265786007,128.57142857142856
15,1.3866396472438662,113.33333333333333
16,1.302522661169719,100.0
17,1.2235086091168483,88.23529411764706
18,1.1487202598750486,77.77777777777777
19,1.0774128391708735,68.42105263157893
20,1.008936369409291,60.00000000000001
21,0.9427051704555822,52.38095238095237
22,0.8781710245167839,45.45454545454546
23,0.814796787649222,39.13043478260869
24,0.7520266887690259,33.33333333333333
25,0.6892477415572184,28.000000000000004
26,0.6257322813860872,23.076923076923084
27,0.5605409075277861,18.518518518518512
28,0.49233651381765514,14.28571428571428
29,0.4189711806239286,10.344827586206895
30,0.3363564831023909,6.666666666666665
31,0.23400939930748127,3.2258064516129004
